Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Jan,1874,injured,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,,unprovoked,swimming,,"calf, foot",male,,
Nov,1874,injured,QLD,"mary river, maryborough",-25.5,152.7166667,river,bull shark,3,unprovoked,swimming,,thigh,male,,
Nov,1874,injured,NSW,"redhead beach, newcastle",-33,151.7166667,coastal,wobbegong,2,provoked,swimming,,foot,male,,
Jul,1875,injured,NSW,"yamba, clarence river",-29.41666667,153.3333333,river,tiger shark,,unprovoked,swimming,,,male,,
Oct,1875,fatal,QLD,torres strait islands,-10.25,142.1166667,estuary/harbour,tiger shark,,provoked,snorkelling,,leg,male,,
Nov,1875,injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,island open ocean,white shark,,provoked,swimming,,foot,male,,
Dec,1875,injured,NSW,"yamba, clarence river, grafton",-29.4,153.3333333,river,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1876,injured,WA,port walcott & de grey river,-20.7,117.25,river,bull shark,,provoked,snorkelling,,thigh,male,36,
Jan,1876,injured,VIC,st kilda beach,-37.86666667,144.9666667,coastal,white shark,,unprovoked,swimming,,,male,,
Feb,1876,fatal,QLD,torres strait islands,-10.25,142.1166667,coastal,tiger shark,,provoked,snorkelling,,torso,male,,
Feb,1876,fatal,VIC,albert park pier,-37.85,144.95,estuary/harbour,white shark,4,unprovoked,swimming,,"leg, pelvic region",male,18,
Jul,1876,uninjured,NSW,"dawse point battery, sydney harbour",-33.85,151.2,coastal,whaler shark,4.3,provoked,diving,,other: uninjured,male,,
Dec,1876,injured,NSW,"paterson river, newcastle",-32.76666667,151.7,island open ocean,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1877,fatal,VIC,"emerald hill, melbourne",-37.83333333,144.9333333,coastal,white shark,,unprovoked,swimming,,,male,30,
Jan,1877,injured,VIC,port fairy,-38.38333333,142.4833333,coastal,white shark,,unprovoked,swimming,,foot,female,,
Mar,1877,injured,VIC,"port phillip bay, portarlington",-38.1,144.65,coastal,white shark,,unprovoked,swimming,,"thigh, foot",male,,
Dec,1877,injured,NSW,"balmain, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,12,
Dec,1877,injured,SA,st kilda beach,-34.73333333,138.0333333,coastal,,1.2,provoked,swimming,,leg,male,,
Jan,1878,injured,QLD,"torres strait, saibai island",-9.633333333,142.6833333,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Mar,1878,injured,VIC,hopkin's river,-38.38333333,142.5,river,whaler shark,3.2,unprovoked,swimming,below,torso,male,,
Jul,1878,injured,QLD,"inskip point, off frazer island",-25.8,153.05,coastal,bull shark,,provoked,fishing,,calf,male,,
Nov,1878,injured,NSW,"iron cove river, sydney harbour",-33.85,151.15,estuary/harbour,wobbegong,,unprovoked,swimming,,,male,,
Jun,1879,fatal,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
