Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Sep,1918,fatal,QLD,"townsville, strand beach",-19.25,146.8166667,coastal,tiger shark,2.2,unprovoked,swimming,,leg,male,,
Nov,1918,fatal,QLD,arlington reef (gbr),-16.7,146.05,Ocean/pelagic,tiger shark,,provoked,snorkelling,,torso,male,,
Jan,1919,injured,NSW,newcastle beach,-32.91666667,151.7833333,coastal,white shark,3.7,unprovoked,swimming,,"hand, torso, calf",male,19,
Jan,1919,fatal,NSW,"sirius cove, sydney harbour",-33.83333333,151.2333333,estuary/harbour,bull shark,3.5,unprovoked,swimming,,thigh,male,13,
Jan,1919,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,38,
Dec,1919,injured,QLD,bribie island,-27.08333333,153.45,coastal,wobbegong,,provoked,swimming,,leg,male,,
Dec,1919,fatal,NSW,"macleay river, pelican island",-30.91666667,153.0166667,river,bull shark,,unprovoked,swimming,,"calf, foot",male,,
Jan,1920,fatal,NSW,throsby creek. newcastle,-32.9,151.75,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,12,
Feb,1920,uninjured,NSW,tuggerah lake entrance,-33.33333333,151.5,estuary/harbour,wobbegong,,provoked,spearfishing,,other: uninjured,male,,
Mar,1920,injured,QLD,"townsville, cleveland bay",-19.25,146.8166667,coastal,tiger shark,,unprovoked,swimming,,torso,male,20,
Jul,1920,injured,QLD,mackay (320km east),-20.9,151.7166667,coastal,tiger shark,,provoked,snorkelling,,"arm, shoulder, torso",male,,
Nov,1920,injured,NSW,cape halke,-32.2,152.55,coastal,wobbegong,,provoked,snorkelling,,"arm, hand",male,,
Nov,1920,injured,WA,"ocean beach, demark",-35.01666667,117.3333333,coastal,wobbegong,1.2,unprovoked,other: standing in water,,leg,male,,
Nov,1920,injured,WA,"cottesloe beach, perth",-31.98333333,115.7333333,coastal,wobbegong,,unprovoked,other: standing in water,,"leg, hand",male,,
Dec,1920,injured,QLD,howick island,-14.5,144.9166667,island open ocean,,,provoked,fishing,,leg,male,,
Dec,1920,injured,NSW,lismore - wilsons river,-28.8,153.2666667,river,bull shark,,unprovoked,swimming,,leg,male,,
Oct,1921,injured,QLD,hinchinbrook island,-18.23333333,146.65,coastal,tiger shark,,provoked,snorkelling,,arm,male,,
Oct,1921,fatal,QLD,"cairns, elford reef (26 miles east)",-16.9,146.2333333,ocean/pelagic,tiger shark,,unprovoked,swimming,below,leg,male,,
Nov,1921,fatal,QLD,"brisbane river, bulimba beach ",-27.43333333,153.15,river,bull shark,,unprovoked,swimming,,other: body not recovered,male,8,
Nov,1921,injured,QLD,"brisbane river, bulimba beach ",-27.43333333,153.15,river,bull shark,,unprovoked,swimming,,"leg, pelvic region",male,,
Dec,1921,injured,QLD,fitzroy river,-23.38333333,150.55,river,bull shark,,unprovoked,swimming,,torso,male,,
Jan,1922,injured,NSW,"stockton beach, newcastle",-32.85,151.8333333,coastal,white shark,,unprovoked,swimming,behind,thigh,male,,
Jan,1922,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,,male,54,
Feb,1922,fatal,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,white shark,,unprovoked,swimming,,arm,male,19,
Mar,1922,fatal,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,white shark,2.5,unprovoked,swimming,,"hand, torso",male,21,
Dec,1922,fatal,QLD,"maryborough, pialba beach",-25.53333333,152.7,coastal,tiger shark,3,unprovoked,swimming,,torso,male,,
Jan,1923,fatal,WA,"swan river, claremont",-31.96666667,115.7666667,river,bull shark,,unprovoked,swimming,,thigh,male,13,
Jan,1923,uninjured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,white shark,3.2,provoked,swimming,,other: uninjured,male,,
Mar,1923,injured,QLD,"townsville, ross creek",-19.23333333,146.8166667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
May,1923,fatal,QLD,great barrier reef (townsville area),-16.85,146.15,ocean/pelagic,tiger shark,,provoked,snorkelling,,torso,male,,
May,1923,injured,WA,"geraldton, southgate",-28.81666667,114.6166667,coastal,wobbegong,,provoked,fishing,,foot,male,,
Jun,1923,injured,QLD,townsville area (gbr),-18.7,147.7666667,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Jun,1923,fatal,NSW,"bellambi, wollongong",-34.35,150.9166667,coastal,white shark,,unprovoked,swimming,,other: body not recovered,male,50,
Oct,1923,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,coastal,tiger shark,,provoked,snorkelling,,arm,male,,
Nov,1923,fatal,WA,condon creek - broome (area),-20,119.35,coastal,tiger shark,,provoked,,,other: body not recovered,male,,
Nov,1923,fatal,WA,condon creek - broome (area),-20,119.35,coastal,tiger shark,,provoked,,,other: half of body recovered,male,,
Dec,1923,injured,NSW,"tweed river, murwillumbah",-28.31666667,153.4,river,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1924,fatal,NSW,"parramatta river, camella, sydney",-33.8,151.0166667,river,bull shark,3.2,unprovoked,swimming,,"arm, torso, foot",male,,
Feb,1924,injured,WA,bunbury,-33.31666667,115.6333333,coastal,wobbegong,0.9,unprovoked,swimming,,foot,male,,
Feb,1924,injured,NSW,"bronte beach, sydney",-33.9,151.2666667,coastal,white shark,,unprovoked,swimming,,"leg, foot",female,30,
Apr,1924,fatal,NSW,"kiama, wollongong",-34.66666667,150.85,coastal,white shark,,unprovoked,swimming,,,male,20,
Oct,1924,injured,VIC,"town pier, port melbourne",-37.83333333,144.9333333,coastal,white shark,3,unprovoked,swimming,,leg,male,,
Mar,1925,injured,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,white shark,,unprovoked,swimming,,leg,male,16,
Mar,1925,fatal,NSW,newcastle beach,-32.91666667,151.7833333,coastal,white shark,3,unprovoked,swimming,,"arm, torso",male,16,
Nov,1925,fatal,WA,"cottesloe beach, perth",-31.98333333,115.75,coastal,tiger shark,4,unprovoked,swimming,,"torso, leg",male,55,
Mar,1926,fatal,SA,"brighton pier, adelaide",-34.9,137,coastal,white shark,4,unprovoked,swimming,,thigh,female,,
Oct,1926,injured,NSW,"yamba, clarence river, maclean",-29.45,153.1833333,river,bull shark,,unprovoked,swimming,,,male,,
Nov,1926,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,arm,male,,
Dec,1926,fatal,QLD,palm island,-18.71666667,146.5666667,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Jan,1927,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,coastal,tiger shark,,provoked,snorkelling,,"torso, shoulder",male,,
Jan,1927,fatal,NSW,"greys point, port hacking",-34.05,151.0833333,river,tiger shark,4,unprovoked,swimming,,thigh,male,15,
Feb,1927,uninjured,QLD,brisbane river,-27.46666667,153.0333333,river,bull shark,,unprovoked,swimming,behind,other: uninjured,male,,
Mar,1927,injured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,white shark,3,unprovoked,swimming,other: side,"hand, pelvic region",male,17,
Apr,1927,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,1.8,provoked,,,leg,male,,
Apr,1927,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,leg,male,,
May,1927,fatal,QLD,cairns (near),-17.21666667,145.9666667,coastal,tiger shark,,unprovoked,swimming,,leg,male,,
Jul,1927,uninjured,WA,broome (area),-17.98333333,122.2333333,Coastal,tiger shark,,provoked,diving,,other: uninjured,male,,
Jan,1928,fatal,QLD,"deliverance island, torres strait",-9.516666667,141.5666667,island open ocean,tiger shark,,provoked,,,"arm, leg",male,,
Feb,1928,fatal,QLD,"barrow point, 100 km north of cooktown",-14.15,144.5,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Mar,1928,injured,QLD,great barrier reef (bowen area),-19.8,149.05,coastal,tiger shark,,provoked,snorkelling,,torso,male,,
Apr,1928,injured,QLD,"brisbane river, graceville",-27.51666667,152.9833333,river,bull shark,1.2,unprovoked,swimming,,leg,male,15,
Apr,1928,injured,NSW,"bondi beach north, sydney",-33.88333333,151.2666667,coastal,white shark,,unprovoked,swimming,,calf,male,19,
Apr,1928,fatal,NSW,"bar beach, newcastle",-32.93333333,151.75,coastal,white shark,,unprovoked,swimming,,"hand, leg, torso",male,27,
Jul,1928,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,"arm, torso",male,,
Dec,1928,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,"arm, hand",male,,
Jan,1929,fatal,QLD,"magnetic island, alma bay",-19.13333333,146.8333333,coastal,tiger shark,,unprovoked,swimming,,"arm, torso",male,18,
Jan,1929,injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,wobbegong,,provoked,fishing,,leg,male,,
Jan,1929,fatal,NSW,"bondi beach, sydney",-33.88333333,151.2666667,coastal,white shark,4.9,unprovoked,swimming,,thigh,male,14,
Feb,1929,injured,NSW,jervis bay,-35.03333333,150.7166667,coastal,wobbegong,,provoked,snorkelling,,foot,male,,
Feb,1929,fatal,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,,unprovoked,swimming,,"leg, hand",male,19,
Feb,1929,fatal,NSW,"bondi beach, sydney",-33.88333333,151.2666667,coastal,white shark,,unprovoked,swimming,,thigh,male,39,
Feb,1929,uninjured,SA,"glenelg, adelaide",-34.96666667,138.5,coastal,white shark,3.6,unprovoked,unmotorised boating,,other: uninjured,female,,
Mar,1929,injured,QLD,bowen (gbr),-19.51666667,148.8333333,island open ocean,,,provoked,snorkelling,,,male,,
Mar,1929,injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,wobbegong,,unprovoked,unmotorised boating,,leg,male,12,
Mar,1929,injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,wobbegong,,unprovoked,unmotorised boating,,foot,male,12,
Mar,1929,fatal,QLD,"torres strait, dauan island",-9.416666667,142.5333333,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Apr,1929,injured,QLD,mackay,-21,149.8833333,coastal,tiger shark,,provoked,snorkelling,,"arm, hand",male,,
Apr,1929,injured,QLD,"bribie passage, pumicestone channel",-26.98333333,153.0666667,coastal,bull shark,1.5,provoked,fishing,,leg,male,21,
Apr,1929,fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,tiger shark,,unprovoked,swimming,,thigh,male,,
May,1929,injured,QLD,"torres strait, coconut island",-10.05,143.0666667,island open ocean,tiger shark,,provoked,snorkelling,,"leg, pelvic region",male,,
Sep,1929,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,spearfishing,,leg,male,,
Sep,1929,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,42,
Oct,1929,injured,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,tiger shark,,unprovoked,swimming,,foot,male,,
Dec,1929,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,"torso, leg",male,50,
Dec,1929,injured,NSW,"collaroy beach, sydney",-33.71666667,151.3,island open ocean,wobbegong,,unprovoked,swimming,,leg,female,17,
Dec,1929,fatal,NSW,"balmain, white bay, sydney harbour",-33.85,151.1833333,estuary/harbour,bull shark,,unprovoked,swimming,,"arm, leg, pelvic region",male,16,
Dec,1929,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,"arm, torso",male,,
Dec,1929,uninjured,QLD,coolangatta beach,-28.16666667,153.5333333,coastal,,,unprovoked,swimming,,other: uninjured,male,,
Jan,1930,injured,QLD,"torres strait, moa island",-10.15,142.1833333,island open ocean,tiger shark,,provoked,spearfishing,,arm,male,,
Feb,1930,fatal,VIC,"port philip bay, middle brighton pier",-37.9,144.9833333,coastal,white shark,5,unprovoked,swimming,below,other: body not recovered,male,19,
Feb,1930,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,"arm, torso",male,,
Jun,1930,fatal,QLD,"torres strait, mabuiag island",-9.95,142.1833333,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Jul,1930,fatal,QLD,"torres strait, badu island",-10.25,142.1,island open ocean,tiger shark,,provoked,snorkelling,,,male,16,
Aug,1930,injured,WA,geraldton,-28.76666667,114.6,coastal,wobbegong,0.6,provoked,fishing,,leg,male,,
Dec,1930,injured,NSW,"homebush bay, parramatta river, sydney",-33.83333333,151.0666667,river,bull shark,,unprovoked,swimming,,torso,male,49,
Jan,1931,injured,NSW,"spit bridge, middle harbour sydney",-33.8,151.2333333,estuary/harbour,wobbegong,,provoked,fishing,,foot,male,,
Jan,1931,injured,QLD,yeppoon,-23.11666667,150.7333333,coastal,tiger shark,1.5,unprovoked,swimming,,torso,male,18,
Jan,1931,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,"leg, pelvic region",male,,
Jan,1931,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Mar,1931,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,provoked,swimming,,thigh,male,19,
Nov,1931,injured,QLD,innisfail,-17.53333333,146.0166667,coastal,tiger shark,4,provoked,snorkelling,,leg,male,,
Jan,1932,injured,QLD,"brisbane river, bremer river",-27.6,152.7666667,river,bull shark,,unprovoked,swimming,,thigh,male,,
Feb,1932,injured,QLD,calliope river,-23.83333333,151.2166667,river,bull shark,,provoked,fishing,,foot,male,,
Feb,1932,injured,NSW,bellambi jetty,-34.36666667,150.9166667,coastal,wobbegong,,provoked,fishing,,foot,male,,
May,1932,injured,QLD,cairns,-16.91666667,145.7666667,coastal,tiger shark,,provoked,snorkelling,,arm,male,,
May,1932,fatal,QLD,"torres strait, warrior reef",-9.4,142.6666667,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Aug,1932,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,"leg, pelvic region",male,,
Oct,1932,injured,NSW,"redhead beach, newcastle",-33,151.7166667,coastal,white shark,4,unprovoked,swimming,,torso,male,24,
Dec,1932,injured,NT,arnhem land (coastal area),-11.93333333,132.6166667,coastal,tiger shark,,unprovoked,swimming,,leg,male,,
Jan,1933,fatal,QLD,"townsville, strand beach",-19.25,146.8166667,coastal,tiger shark,,unprovoked,swimming,,torso,male,38,
Feb,1933,uninjured,WA,"swan river, pelican rock",-31.96666667,115.85,river,bull shark,2.1,provoked,fishing,,other: uninjured,male,,
Feb,1933,injured,QLD,"barrow point, 100km north of cooktown",-14.15,144.5,coastal,tiger shark,4.2,provoked,snorkelling,,"arm, shoulder",male,,
Mar,1933,injured,QLD,mackay (50 miles off - gbr),-20.96666667,149.75,ocean/pelagic,tiger shark,2.1,provoked,snorkelling,,leg,male,,
Jun,1933,uninjured,NT,"darwin, fanny bay",-12.45,130.8333333,coastal,,,provoked,fishing,,other: uninjured,male,,
Jun,1933,injured,QLD,"currumbin creek, currumbin",-28.13333333,153.4666667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
Jul,1933,uninjured,WA,broome,-17.96666667,122.1666667,coastal,tiger shark,,provoked,diving,,other: uninjured,male,,
Sep,1933,fatal,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,thigh,male,,
Oct,1933,injured,QLD,"barrow point, 100 km north of cooktown",-14.15,144.5,coastal,tiger shark,,provoked,snorkelling,,"arm, hand",male,17,
Oct,1933,injured,NSW,evans head,-29.1,153.4333333,coastal,wobbegong,,provoked,swimming,,foot,male,,
Jan,1934,injured,NSW,"georges river,",-33.98333333,151.0666667,river,bull shark,3,unprovoked,swimming,,"arm, torso",male,15,
Jan,1934,injured,NSW,"queenscliff beach, sydney",-33.78333333,151.2833333,coastal,white shark,4,unprovoked,swimming,,leg,male,22,
Jan,1934,uninjured,QLD,"gloucester island, bowen",-20,148.45,island open ocean,tiger shark,,provoked,snorkelling,,other: uninjured,male,,
Feb,1934,injured,QLD,"torres strait, adolphus channel ",-10.6,142.6166667,island open ocean,tiger shark,2.8,provoked,spearfishing,in front,thigh,male,,
Mar,1934,fatal,NSW,"dee why beach, sydney",-33.75,151.3,coastal,white shark,4,unprovoked,swimming,,"leg, pelvic region",male,17,
Apr,1934,injured,QLD,"currumbin beach, gold coast",-28.15,153.4833333,coastal,tiger shark,2,unprovoked,swimming,,calf,male,34,
Apr,1934,fatal,NSW,"manly, north steyne, sydney",-33.78333333,151.2833333,coastal,white shark,3.5,unprovoked,swimming,,"leg, torso",male,16,
Aug,1934,fatal,QLD,"cardwell, off eva island",-18.23333333,146.3166667,coastal,tiger shark,,unprovoked,swimming,below,torso,male,,
Oct,1934,fatal,QLD,"torres strait, warrior reef",-9.966666667,143.2666667,island open ocean,tiger shark,,provoked,snorkelling,,arm,male,,
Oct,1934,fatal,NT,"red cliff, cobourg peninsula",-11.66666667,132.5166667,coastal,tiger shark,4.5,unprovoked,swimming,,"arm, torso, thigh",female,,
Dec,1934,injured,NSW,"georges river, milpera, sydney",-33.95,151.9666667,river,bull shark,3.6,unprovoked,swimming,,arm,female,13,
Dec,1934,fatal,NSW,"georges river, milperra bridge",-33.93333333,150.9666667,river,bull shark,3.6,unprovoked,swimming,behind,calf,male,20,
Dec,1934,fatal,NSW,"brisbane waters, woy woy",-33.48333333,151.3,estuary/harbour,bull shark,,unprovoked,swimming,in front,torso,male,14,
Dec,1934,injured,NSW,"brisbane waters, woy woy",-33.48333333,151.3,estuary/harbour,bull shark,,unprovoked,swimming,in front,leg,female,12,
Jan,1935,fatal,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Feb,1935,injured,NSW,"austinmer beach, wollongong",-34.3,150.9333333,coastal,white shark,,unprovoked,boarding,,thigh,male,20,
Mar,1935,fatal,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,4.2,unprovoked,swimming,,"arm, torso, pelvic region",male,,
Mar,1935,injured,QLD,mackay (100 mile south),-21.16666667,149.2333333,coastal,whaler shark,,unprovoked,snorkelling,behind,"leg, pelvic region",male,,
Mar,1935,injured,QLD,lizard island,-14.66666667,145.45,island open ocean,tiger shark,3.2,provoked,snorkelling,,"hand, thigh",male,,
Mar,1935,fatal,NSW,"north narrabeen, sydney",-33.7,151.3,coastal,white shark,4.2,unprovoked,swimming,,thigh,male,22,
May,1935,injured,QLD,"torres strait, warrior reef",-9.4,142.6666667,island open ocean,whaler shark,,provoked,snorkelling,,"arm, hand",male,,
Aug,1935,fatal,QLD,"torres strait, yule entrance",-9.4,142.6666667,coastal,tiger shark,,provoked,snorkelling,,thigh,male,,
Nov,1935,injured,QLD,innisfail (near),-17.53333333,146.0166667,island open ocean,tiger shark,,provoked,snorkelling,,"arm, shoulder",male,,
Jan,1936,uninjured,NSW,"bondi beach north, sydney",-33.88333333,151.2666667,coastal,white shark,3.5,provoked,boarding,,other: uninjured,male,,
Jan,1936,injured,WA,"depuch island, cossack creek, dampier",-20.66666667,117.1833333,coastal,tiger shark,,provoked,snorkelling,,leg,male,,
Jan,1936,fatal,SA,"west beach, adelaide",-34.9,137,coastal,white shark,,unprovoked,swimming,,torso,male,16,
Feb,1936,fatal,NSW,"manly, south steyne,  sydney",-33.78333333,151.2833333,coastal,white shark,6,unprovoked,swimming,,other: body not recovered,male,14,
Feb,1936,uninjured,QLD,brisbane river,-27.43333333,153.0833333,river,bull shark,3.1,unprovoked,unmotorised boating,,other: uninjured,male,,
Mar,1936,injured,QLD,cape direction,-12.78333333,143.6,island open ocean,tiger shark,,provoked,snorkelling,,arm,male,,
Mar,1936,injured,QLD,forbes island,-12.16666667,143.3833333,river,whaler shark,,unprovoked,swimming,,"arm, hand",male,,
Apr,1936,injured,QLD,"arlington reef, green island",-16.7,146.05,Ocean/pelagic,tiger shark,4,provoked,snorkelling,,"arm, torso, foot",male,16,
May,1936,injured,QLD,mackay reef (area),-20.81666667,149.4833333,coastal,,,provoked,snorkelling,,leg,male,,
Jun,1936,fatal,QLD,"torres strait, nepean island ",-10.6,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,torso,male,16,
Jul,1936,injured,QLD,mackay (reef area),-20.81666667,149.4833333,coastal,tiger shark,,provoked,snorkelling,,torso,male,,
Aug,1936,injured,QLD,"torres strait, mabuiag island",-9.95,142.1833333,island open ocean,whaler shark,,provoked,snorkelling,,foot,male,,
Nov,1936,injured,WA,rottnest island,-31.98333333,115.5333333,island open ocean,wobbegong,,provoked,swimming,,leg,male,,
Nov,1936,injured,NSW,"botany bay, brighton-le-sands",-33.95,151.15,coastal,wobbegong,1.2,unprovoked,swimming,,foot,male,16,
Dec,1936,fatal,NSW,"throsby creek, newcastle",-32.9,151.75,estuary/harbour,bull shark,3,unprovoked,swimming,,leg,male,16,
Jan,1937,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Feb,1937,fatal,NSW,"bar beach, newcastle",-32.93333333,151.75,coastal,white shark,,unprovoked,swimming,,"torso, leg",male,32,
Feb,1937,injured,NSW,smoky cape lighthouse,-30.91666667,153.0833333,coastal,wobbegong,,unprovoked,swimming,,foot,male,,
May,1937,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,"leg, hand",male,33,
Aug,1937,injured,QLD,"torres strait, mabuiag island",-9.95,142.1833333,island open ocean,tiger shark,,provoked,snorkelling,,head,male,,
Oct,1937,injured,NSW,byron bay beach,-28.63333333,153.6166667,coastal,white shark,3,unprovoked,swimming,,torso,male,16,
Oct,1937,fatal,QLD,"kirra beach, coolangatta",-28.16666667,153.5166667,coastal,tiger shark,4.6,unprovoked,swimming,,"arm, torso, leg",male,18,
Oct,1937,fatal,QLD,"kirra beach, coolangatta",-28.16666667,153.5166667,coastal,tiger shark,4.6,unprovoked,swimming,,torso,male,18,
Nov,1937,injured,QLD,"fitzroy river, rockhampton",-23.38333333,150.5166667,river,bull shark,,unprovoked,swimming,,leg,male,,
Nov,1937,injured,QLD,hinchinbrook channel,-18.53333333,146.2333333,island open ocean,tiger shark,,provoked,snorkelling,,"calf, foot",male,17,
Jan,1938,injured,QLD,brook island nr townsville,-18.13333333,146.25,island open ocean,tiger shark,2.7,provoked,fishing,,thigh,male,,
Jan,1938,injured,NSW,"lady martins beach, sydney harbour",-33.85,151.25,estuary/harbour,bull shark,1.7,provoked,swimming,,"leg, foot",male,24,
Jan,1938,uninjured,NSW,"cronulla beach, sydney",-34.03333333,151.15,coastal,white shark,3.6,unprovoked,boarding,below,other: uninjured,male,,
Mar,1938,injured,NT,liverpool river,-12.03333333,134.2,estuary/harbour,whaler shark,,unprovoked,unmotorised boating,,leg,male,,
Jun,1938,fatal,QLD,thursday island area (unknown location),-10.56666667,142.1666667,island open ocean,,,provoked,diving,,other: body not recovered,male,,
Jul,1938,fatal,NT,bathurst island,-11.4,130.4,island open ocean,whaler shark,,provoked,diving,,other: body not recovered,male,,
Oct,1938,injured,QLD,"moreton bay, wynnum",-27.43333333,153.1666667,coastal,tiger shark,1.8,provoked,fishing,,foot,male,,
Nov,1938,injured,QLD,"cribb island, brisbane",-27.35,153.1166667,coastal,wobbegong,1.2,provoked,swimming,,foot,male,,
Jan,1939,uninjured,NSW,"yamba, clarence river",-29.41666667,152.3333333,river,bull shark,2.1,provoked,fishing,in front,other: uninjured,male,11,
Sep,1939,injured,QLD,"torres strait, mabuig island",-9.95,142.1666667,island open ocean,tiger shark,,provoked,snorkelling,,leg,male,17,
Oct,1939,injured,QLD,"double island beach, cairns",-16.71666667,154.6833333,island open ocean,,,unprovoked,swimming,,foot,male,,
Oct,1939,injured,QLD,"restoration rock, portland road",-12.61666667,143.45,island open ocean,tiger shark,4.3,provoked,snorkelling,behind,thigh,male,27,
Dec,1939,injured,NSW,georges river,-33.98333333,151.0666667,river,bull shark,1.8,unprovoked,swimming,,leg,male,40,
Dec,1939,fatal,QLD,"mackay, rubbish dump creek, pioneer river",-21.16666667,149.2333333,estuary/harbour,bull shark,2.6,unprovoked,swimming,,"leg, foot",male,20,
Jan,1940,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,head,male,,
Jan,1940,injured,QLD,"brisbane river, dutton park",-27.48333333,153.0166667,river,bull shark,,unprovoked,swimming,,"torso, shoulder",male,17,
Jan,1940,injured,QLD,"southport, surfers paradise",-28,153.4166667,coastal,tiger shark,,unprovoked,swimming,,"arm, torso",male,22,
Jan,1940,fatal,NSW,"botany bay, brighton-le-sands",-33.95,151.15,estuary/harbour,tiger shark,3.1,unprovoked,swimming,,"torso, leg",male,13,
Feb,1940,fatal,NSW,"botany bay, brighton-le-sands",-33.95,151.15,estuary/harbour,bull shark,,unprovoked,swimming,,arm,male,55,
Mar,1940,injured,NSW,"gerringong, wollongong",-34.73333333,150.8333333,coastal,wobbegong,,provoked,snorkelling,,foot,male,,
May,1940,injured,QLD,mackay,-21.4,150.5333333,island open ocean,tiger shark,,unprovoked,swimming,,,male,56,
Dec,1940,fatal,NSW,"stockton beach, newcastle",-32.85,151.8333333,coastal,tiger shark,,unprovoked,swimming,,torso,male,23,
Oct,1941,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Oct,1941,fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,tiger shark,,unprovoked,swimming,,,male,,
Nov,1941,injured,WA,off carnarvon,-26.46666667,110.2666667,ocean/pelagic,,,unprovoked,swimming,,leg,male,,
Dec,1941,injured,WA,"the facine, carnarvon",-24.88333333,113.65,estuary/harbour,bull shark,,unprovoked,swimming,,foot,male,,
Jan,1942,fatal,NSW,"bantry bay, sydney harbour",-33.76666667,151.2166667,estuary/harbour,bull shark,4,unprovoked,swimming,,torso,female,28,
Jan,1942,uninjured,NSW,"manly, fairy bower, sydney",-33.78333333,151.2833333,coastal,white shark,3,provoked,boarding,,other: uninjured,male,,
May,1942,injured,QLD,cairns (reef 160km south),-17.7,146.5166667,coastal,tiger shark,2.1,provoked,snorkelling,,arm,male,,
Aug,1942,injured,QLD,"hook island, whitsunday islands",-20.08333333,148.8833333,island open ocean,,,provoked,snorkelling,,leg,male,,
Sep,1942,injured,QLD,"trinity beach, cairns",-16.78333333,145.7,coastal,tiger shark,3,unprovoked,swimming,below,leg,male,24,
Dec,1942,fatal,NSW,"bantry bay, sydney harbour",-33.76666667,151.2166667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,female,15,
Jan,1943,injured,NT,darwin,-12.46666667,130.8333333,coastal,tiger shark,,unprovoked,swimming,,torso,male,,
Jan,1944,injured,NSW,"forster, first beach",-32.16666667,152.5166667,coastal,white shark,,unprovoked,boarding,below,leg,male,14,
Feb,1945,injured,NSW,malabar bay,-33.95,151.25,coastal,wobbegong,1.3,provoked,fishing,,"arm, hand",male,24,
Jun,1945,fatal,QLD,"trinity beach, double island, cairns",-16.71666667,145.6666667,coastal,tiger shark,,unprovoked,swimming,,,male,,
Jan,1946,injured,QLD,townsville,-19.25,146.8166667,coastal,,,unprovoked,swimming,,foot,male,12,
